id	trade_config_id	strategy_id	instrument_name	option_type	option_strike	option_token	entry_direction	entry_time	entry_price	entry_reason	exit_time	exit_price	exit_reason	profit	peak_profit	peak_loss	target_at_entry	stop_loss_at_entry	trail_ladder_at_entry	trail_sl_at	quantity	status	fill_status
1573	1072	1	NIFTY	CE	21400	HIST:NIFTY:NFO:2024-01-04:21400:CE	SELL	2024-01-04 09:30:00	199.4500	5min/SMA100	2024-01-04 12:20:00	259.8000	STOP_LOSS	-60.3500	0.0000	-60.3500	39.8900	59.8400	25:2,50:25,75:50,100:75	NULL	75	CLOSED	BACKTEST
1574	1072	2	NIFTY	CE	21400	HIST:NIFTY:NFO:2024-01-04:21400:CE	SELL	2024-01-04 09:45:00	204.0500	15min/SMA50	2024-01-04 15:15:00	253.1000	SIGNAL	-49.0500	0.0000	-55.9500	40.8100	60.0000	25:2,50:25,75:50,100:75	NULL	75	CLOSED	BACKTEST
1575	1080	1	NIFTY	PE	21900	HIST:NIFTY:NFO:2024-01-18:21900:PE	SELL	2024-01-12 15:10:00	126.5000	5min/SMA50	2024-01-12 15:15:00	117.6000	SIGNAL	8.9000	0.0000	0.0000	25.3000	37.9500	25:2,50:25,75:50,100:75	NULL	75	CLOSED	BACKTEST
1576	1080	2	NIFTY	PE	21900	HIST:NIFTY:NFO:2024-01-18:21900:PE	SELL	2024-01-12 15:10:00	126.5000	5min/SMA50	2024-01-12 15:15:00	117.6000	SIGNAL	8.9000	0.0000	0.0000	25.3000	37.9500	25:2,50:25,75:50,100:75	NULL	75	CLOSED	BACKTEST
1577	1081	1	NIFTY	PE	22000	HIST:NIFTY:NFO:2024-01-18:22000:PE	SELL	2024-01-16 09:25:00	80.0500	5min/SMA50	2024-01-16 10:35:00	59.0500	TARGET	21.0000	21.0000	-1.2000	16.0100	24.0200	25:2,50:25,75:50,100:75	NULL	75	CLOSED	BACKTEST
1578	1081	2	NIFTY	PE	22000	HIST:NIFTY:NFO:2024-01-18:22000:PE	SELL	2024-01-16 09:25:00	80.0500	5min/SMA50	2024-01-16 10:35:00	59.0500	TARGET	21.0000	21.0000	-1.2000	16.0100	24.0200	25:2,50:25,75:50,100:75	NULL	75	CLOSED	BACKTEST
1579	1081	1	NIFTY	PE	22100	HIST:NIFTY:NFO:2024-01-18:22100:PE	SELL	2024-01-16 11:45:00	98.2000	5min/SMA50	2024-01-16 13:00:00	129.6000	STOP_LOSS	-31.4000	8.2000	-31.4000	19.6400	29.4600	25:2,50:25,75:50,100:75	NULL	75	CLOSED	BACKTEST
1580	1081	2	NIFTY	PE	22100	HIST:NIFTY:NFO:2024-01-18:22100:PE	SELL	2024-01-16 11:45:00	98.2000	5min/SMA50	2024-01-16 13:00:00	129.6000	STOP_LOSS	-31.4000	8.2000	-31.4000	19.6400	29.4600	25:2,50:25,75:50,100:75	NULL	75	CLOSED	BACKTEST
1581	1081	1	NIFTY	PE	22200	HIST:NIFTY:NFO:2024-01-18:22200:PE	SELL	2024-01-16 11:55:00	142.8000	5min/SMA50	2024-01-16 13:10:00	204.1000	STOP_LOSS	-61.3000	0.0000	-61.3000	28.5600	42.8400	25:2,50:25,75:50,100:75	NULL	75	CLOSED	BACKTEST
1582	1081	2	NIFTY	PE	22200	HIST:NIFTY:NFO:2024-01-18:22200:PE	SELL	2024-01-16 11:55:00	142.8000	5min/SMA50	2024-01-16 13:10:00	204.1000	STOP_LOSS	-61.3000	0.0000	-61.3000	28.5600	42.8400	25:2,50:25,75:50,100:75	NULL	75	CLOSED	BACKTEST
1583	1083	1	NIFTY	CE	21400	HIST:NIFTY:NFO:2024-01-18:21400:CE	SELL	2024-01-18 12:00:00	102.6500	5min/SMA50	2024-01-18 12:30:00	70.2000	TARGET	32.4500	32.4500	-18.5500	20.5300	30.8000	25:2,50:25,75:50,100:75	2.0000	75	CLOSED	BACKTEST
1584	1083	1	NIFTY	CE	21300	HIST:NIFTY:NFO:2024-01-18:21300:CE	SELL	2024-01-18 12:40:00	154.8500	5min/SMA50	2024-01-18 15:15:00	159.7000	SIGNAL	-4.8500	20.4000	-12.6500	30.9700	46.4600	25:2,50:25,75:50,100:75	NULL	75	CLOSED	BACKTEST
1585	1083	2	NIFTY	CE	21300	HIST:NIFTY:NFO:2024-01-18:21300:CE	SELL	2024-01-18 12:55:00	145.9000	5min/SMA50	2024-01-18 15:15:00	159.7000	SIGNAL	-13.8000	11.4500	-21.6000	29.1800	43.7700	25:2,50:25,75:50,100:75	NULL	75	CLOSED	BACKTEST
1586	1086	1	NIFTY	CE	21200	HIST:NIFTY:NFO:2024-01-25:21200:CE	SELL	2024-01-25 09:15:00	229.8000	5min/SMA200	2024-01-25 09:25:00	253.1000	TRAIL_SL	-23.3000	35.3000	-23.3000	45.9600	60.0000	25:2,50:25,75:50,100:75	2.0000	75	CLOSED	BACKTEST
1587	1086	2	NIFTY	CE	21200	HIST:NIFTY:NFO:2024-01-25:21200:CE	SELL	2024-01-25 09:15:00	229.8000	5min/SMA200	2024-01-25 09:25:00	253.1000	TRAIL_SL	-23.3000	35.3000	-23.3000	45.9600	60.0000	25:2,50:25,75:50,100:75	2.0000	75	CLOSED	BACKTEST
1588	1086	1	NIFTY	CE	21400	HIST:NIFTY:NFO:2024-01-25:21400:CE	SELL	2024-01-25 09:15:00	89.3000	15min/SMA50	2024-01-25 09:30:00	62.8500	TARGET	26.4500	26.4500	0.0000	17.8600	26.7900	25:2,50:25,75:50,100:75	2.0000	75	CLOSED	BACKTEST
1589	1086	2	NIFTY	CE	21400	HIST:NIFTY:NFO:2024-01-25:21400:CE	SELL	2024-01-25 09:15:00	89.3000	15min/SMA50	2024-01-25 09:30:00	62.8500	TARGET	26.4500	26.4500	0.0000	17.8600	26.7900	25:2,50:25,75:50,100:75	2.0000	75	CLOSED	BACKTEST
1590	1086	1	NIFTY	CE	21200	HIST:NIFTY:NFO:2024-01-25:21200:CE	SELL	2024-01-25 09:30:00	194.5500	15min/SMA50	2024-01-25 10:15:00	148.7500	TARGET	45.8000	45.8000	-8.4500	38.9100	58.3700	25:2,50:25,75:50,100:75	2.0000	75	CLOSED	BACKTEST
1591	1086	2	NIFTY	CE	21200	HIST:NIFTY:NFO:2024-01-25:21200:CE	SELL	2024-01-25 09:30:00	194.5500	15min/SMA50	2024-01-25 10:15:00	148.7500	TARGET	45.8000	45.8000	-8.4500	38.9100	58.3700	25:2,50:25,75:50,100:75	2.0000	75	CLOSED	BACKTEST
1592	1086	1	NIFTY	CE	21100	HIST:NIFTY:NFO:2024-01-25:21100:CE	SELL	2024-01-25 11:45:00	208.0000	15min/SMA50	2024-01-25 12:35:00	210.0500	TRAIL_SL	-2.0500	25.9000	-2.7500	41.6000	60.0000	25:2,50:25,75:50,100:75	2.0000	75	CLOSED	BACKTEST
1593	1086	2	NIFTY	CE	21100	HIST:NIFTY:NFO:2024-01-25:21100:CE	SELL	2024-01-25 11:45:00	208.0000	15min/SMA50	2024-01-25 12:35:00	210.0500	TRAIL_SL	-2.0500	25.9000	-2.7500	41.6000	60.0000	25:2,50:25,75:50,100:75	2.0000	75	CLOSED	BACKTEST
